Feature,Feature Importance,Description
V3BA02a1,0.0446,(V3B) Resting blood pressure - Systolic measure 1 (mmHg)
MAP_V3,0.0445,(V3 Systolic BP + 2 * V3 Diastolic BP)/3
BMI,0.0204,BMI (kg/m^2) at visit 1 calculated from height and weight (form V1B)
U2CD09,0.0166,(U2C) Right Uterine Artery - Early diastolic notch present
VXXB01az_V2a,0.0145,"(VXX) Medical conditions or diagnoses, Liver/gall bladder disease - Recent use of medication, Visit 2"
ENDOGLIN_1,0.0140,Endoglin (ng/mL)
V1BA06a1,0.0133,(V1B) Resting blood pressure - Systolic (mm Hg) measure 1
ENDOGLIN,0.0133,Endoglin (ng/mL)
U2CC09,0.0132,(U2C) Left Uterine Artery - Early diastolic notch present
U3CC06,0.0129,(U3C) Left Uterine Artery - Resistance Index (RI)
V2BA02a1,0.0125,(V2B) Resting blood pressure - Systolic measure 1 (mmHg)
MAP_V1,0.0124,(V1 Systolic BP + 2 * V1 Diastolic BP)/3
VXXB01aa_V2a,0.0122,"(VXX) Medical conditions or diagnoses, High blood pressure (hypertension) - Condition noted, Visit 2"
DT_CHOL,0.0122,"Cholesterol, mg"
V1BA07a,0.0120,(V1B) Neck circumference - Measure 1 (cm)
U2CC07,0.0119,(U2C) Left Uterine Artery - Pulsatility Index (PI)
CLAD01a2,0.0112,"(CLA) Third Trimester Lab Studies (> 24 0 weeks) Blood count, Lowest hemoglobin during third trimester before labor and delivery - Result g/dL"
INHIBINA_1,0.0107,Inhibin A (pg/mL)
U2CC05,0.0106,(U2C) Left Uterine Artery - Systolic/Diastolic Ratio (S/D)
U3AB04,0.0105,(U3A) Fetal cardiac activity - Abdominal Circumference (cm)
VXXB01ai_V2a,0.0103,"(VXX) Medical conditions or diagnoses, Other structural heart disease - Condition noted, Visit 2"
VEGF_1,0.0101,Vascular endothelial growth factor (VEGF) (pg/mL)
U3CC07,0.0101,(U3C) Left Uterine Artery - Pulsatility Index (PI)
MAP_V2,0.0099,(V2 Systolic BP + 2 * V2 Diastolic BP)/3
VXXB01ah_V2a,0.0099,"(VXX) Medical conditions or diagnoses, Valvular heart disease - Condition noted, Visit 2"
DT_MFAT,0.0097,"Monounsaturated fatty acids, grams"
VXXB01ak_V2a,0.0096,"(VXX) Medical conditions or diagnoses, Cardiac arrhythmias - Condition noted, Visit 2"
PLGF,0.0095,Placental growth factor (PLGF) (pg/mL)
PLGF_1,0.0094,Placental growth factor (PLGF) (pg/mL)
CLAC01f1,0.0093,(CLA) Inhibin A (DIA) Results - Value pg/mL
Systolic_CHG_V3,0.0093,(V3 BP / V2 BP) - 1
CLAB02d2,0.0092,(CLA) First trimester serum screen PAPP-A Results - Multiples of the median (MoM)
DT_PFAT,0.0092,"Polyunsaturated fatty acids, grams"
U2BC01,0.0091,(U2B) Disclosable condition
VEGF,0.0091,Vascular endothelial growth factor (VEGF) (pg/mL)
V2BA02b1,0.0088,(V2B) Resting blood pressure - Diastolic measure 1 (mmHg)
ADAM12,0.0088,ADAM-12 (ng/mL)
VXXB01ae1_V2a,0.0087,"(VXX) Medical conditions or diagnoses, Diabetes, onset during pregnancy (gestational diabetes) - Condition noted, Visit 2"
U3CD06,0.0086,(U3C) Right Uterine Artery - Resistance Index (RI)
CLAB02d1b,0.0086,(CLA) First trimester serum screen PAPP-A Results - μU/mL
V1BA04a,0.0085,(V1B) Waist circumference over iliac crest - Measure 1 (cm)
INHIBINA,0.0085,Inhibin A (pg/mL)
DT_SFAT,0.0085,"Saturated fat, grams"
U2CD07,0.0084,(U2C) Right Uterine Artery - Pulsatility Index (PI)
U2CC06,0.0084,(U2C) Left Uterine Artery - Resistance Index (RI)
VXXB01aa_V1a,0.0084,"(VXX) Medical conditions or diagnoses, High blood pressure (hypertension) - Condition noted, Visit 1"
PAPPA_1,0.0084,Pregnancy-associated plasma protein A (PAPP-A) (mU/mL)
V1AE01,0.0083,"(V1A) Including this pregnancy, how many times have you been pregnant - number of pregnancies"
U3DD02b3,0.0083,"(U3D) Adrenal Gland Measurements, Fetal zone - Length in mm (3)"
SFLT1_1,0.0083,Soluble fms-like tyrosine kinase 1 (sFlt-1) (pg/mL)
VXXB01al_V2a,0.0081,"(VXX) Medical conditions or diagnoses, Kidney disease - Condition noted, Visit 2"
PAPPA,0.0080,Pregnancy-associated plasma protein A (PAPP-A) (mU/mL)
V1BA06b1,0.0080,(V1B) Resting blood pressure - Diastolic (mm Hg) measure 1
U1CD06,0.0080,(U1C) Right Uterine Artery - Resistance Index (RI)
V3BA02b1,0.0079,(V3B) Resting blood pressure - Diastolic measure 1 (mmHg)
AFP_1,0.0079,Alpha fetoprotein (AFP) (IU/mL)
