Feature,Feature Importance,Description
BMI,0.0259,BMI (kg/m^2) at visit 1 calculated from height and weight (form V1B)
VXXB01ar_V2a,0.0246,"(VXX) Medical conditions or diagnoses, History of blood clots (thrombosis or thromboembolism) or stroke - Condition noted, Visit 2"
MAP_V1,0.0231,(V1 Systolic BP + 2 * V1 Diastolic BP)/3
V1BA04a,0.0219,(V1B) Waist circumference over iliac crest - Measure 1 (cm)
V1BA07a,0.0210,(V1B) Neck circumference - Measure 1 (cm)
U2CD09,0.0209,(U2C) Right Uterine Artery - Early diastolic notch present
V2BA02a1,0.0196,(V2B) Resting blood pressure - Systolic measure 1 (mmHg)
MAP_V2,0.0187,(V2 Systolic BP + 2 * V2 Diastolic BP)/3
V1BA06a1,0.0171,(V1B) Resting blood pressure - Systolic (mm Hg) measure 1
ENDOGLIN_1,0.0164,Endoglin (ng/mL)
ENDOGLIN,0.0162,Endoglin (ng/mL)
U2CC09,0.0161,(U2C) Left Uterine Artery - Early diastolic notch present
VXXB01ah_V2a,0.0155,"(VXX) Medical conditions or diagnoses, Valvular heart disease - Condition noted, Visit 2"
U2CC05,0.0151,(U2C) Left Uterine Artery - Systolic/Diastolic Ratio (S/D)
VXXB01ap_V2a,0.0146,"(VXX) Medical conditions or diagnoses, Thrombocytopenia - Condition noted, Visit 2"
INHIBINA_1,0.0142,Inhibin A (pg/mL)
VXXB01aa_V2a,0.0140,"(VXX) Medical conditions or diagnoses, High blood pressure (hypertension) - Condition noted, Visit 2"
U2CC07,0.0139,(U2C) Left Uterine Artery - Pulsatility Index (PI)
PLGF_1,0.0136,Placental growth factor (PLGF) (pg/mL)
VXXB01ak_V2a,0.0134,"(VXX) Medical conditions or diagnoses, Cardiac arrhythmias - Condition noted, Visit 2"
CLAC01f2,0.0134,(CLA) Inhibin A (DIA) Results - Multiples of the median (MoM)
DT_PFAT,0.0133,"Polyunsaturated fatty acids, grams"
VXXB01az_V2a,0.0131,"(VXX) Medical conditions or diagnoses, Liver/gall bladder disease - Recent use of medication, Visit 2"
VEGF_1,0.0128,Vascular endothelial growth factor (VEGF) (pg/mL)
DT_SFAT,0.0127,"Saturated fat, grams"
U2BC01,0.0121,(U2B) Disclosable condition
V2BA02b1,0.0118,(V2B) Resting blood pressure - Diastolic measure 1 (mmHg)
CLAA01d,0.0115,(CLA) Complete blood count - Platelet count x10 3 /mm 3 (x10 3 μL)
